lat,lon,source,state,date,ls_type,trigger,site_id
29.27034,94.15659,NASA_COOLR,arunachal_pradesh,2018-10-29,landslide,unknown,point_00001
26.87313,97.24775,NASA_COOLR,arunachal_pradesh,,landslide,unknown,point_00002
26.96458,95.84216,NASA_COOLR,arunachal_pradesh,,landslide,unknown,point_00003
26.93276,95.8112,NASA_COOLR,arunachal_pradesh,,landslide,unknown,point_00004
26.96465,95.79824,NASA_COOLR,arunachal_pradesh,,landslide,unknown,point_00005
27.0226,95.89027,NASA_COOLR,arunachal_pradesh,,landslide,unknown,point_00006
27.02603,95.90078,NASA_COOLR,arunachal_pradesh,,landslide,unknown,point_00007
26.98189,95.90102,NASA_COOLR,arunachal_pradesh,,landslide,unknown,point_00008
26.9308,95.90099,NASA_COOLR,arunachal_pradesh,,landslide,unknown,point_00009
27.304,92.40781,NASA_COOLR,arunachal_pradesh,2017-09-30,rock_fall,unknown,point_00010
26.66354,94.6222,NASA_COOLR,arunachal_pradesh,2017-06-24,landslide,rain,point_00011
26.95223,93.85749,NASA_COOLR,arunachal_pradesh,2017-07-10,landslide,continuous_rain,point_00012
26.96438,92.78261,NASA_COOLR,arunachal_pradesh,2017-06-18,landslide,monsoon,point_00013
27.10402,93.61157,NASA_COOLR,arunachal_pradesh,2017-04-26,landslide,continuous_rain,point_00014
27.05957,93.50103,NASA_COOLR,arunachal_pradesh,2017-07-09,landslide,continuous_rain,point_00015
27.58385,91.87695,NASA_COOLR,arunachal_pradesh,2017-07-11,landslide,rain,point_00016
27.14164,93.66496,NASA_COOLR,arunachal_pradesh,2017-07-09,mudslide,continuous_rain,point_00017
27.61791,93.84197,NASA_COOLR,arunachal_pradesh,2017-04-22,landslide,monsoon,point_00018
27.1601,91.60363,NASA_COOLR,arunachal_pradesh,2017-07-08,landslide,rain,point_00019
27.68025,93.62593,NASA_COOLR,arunachal_pradesh,2017-04-22,landslide,continuous_rain,point_00020
27.08449,93.60506,NASA_COOLR,arunachal_pradesh,2017-07-09,landslide,continuous_rain,point_00021
27.82743,93.62407,NASA_COOLR,arunachal_pradesh,2017-05-03,landslide,rain,point_00022
27.11611,93.7956,NASA_COOLR,arunachal_pradesh,2017-07-09,landslide,continuous_rain,point_00023
27.20938,93.61539,NASA_COOLR,arunachal_pradesh,2017-07-11,landslide,continuous_rain,point_00024
27.09292,93.61882,NASA_COOLR,arunachal_pradesh,2017-07-09,landslide,continuous_rain,point_00025
27.07672,93.59755,NASA_COOLR,arunachal_pradesh,2017-07-09,landslide,continuous_rain,point_00026
26.7215,95.0283,NASA_COOLR,arunachal_pradesh,2010-07-19,landslide,downpour,point_00027
28.9986,94.8885,NASA_COOLR,arunachal_pradesh,2012-07-05,landslide,downpour,point_00028
28.10757,94.18316,NASA_COOLR,arunachal_pradesh,2017-06-20,landslide,rain,point_00029
27.10712,93.65156,NASA_COOLR,arunachal_pradesh,2017-07-09,landslide,continuous_rain,point_00030
28.235,94.9612,NASA_COOLR,arunachal_pradesh,2016-07-19,landslide,downpour,point_00031
27.3034,93.804,NASA_COOLR,arunachal_pradesh,2016-07-16,mudslide,downpour,point_00032
28.3092,95.4149,NASA_COOLR,arunachal_pradesh,2010-10-03,landslide,downpour,point_00033
27.5748,91.8644,NASA_COOLR,arunachal_pradesh,2016-07-28,landslide,monsoon,point_00034
27.5799,91.8569,NASA_COOLR,arunachal_pradesh,2016-04-22,landslide,continuous_rain,point_00035
27.7,92.8,NASA_COOLR,arunachal_pradesh,2009-08-12,landslide,downpour,point_00036
27.8837,93.0515,NASA_COOLR,arunachal_pradesh,2013-08-01,mudslide,rain,point_00037
27.0998,93.6287,NASA_COOLR,arunachal_pradesh,2008-06-14,landslide,rain,point_00038
27.0136,92.6351,NASA_COOLR,arunachal_pradesh,2016-07-01,landslide,downpour,point_00039
28.4298,95.8776,NASA_COOLR,arunachal_pradesh,2010-05-31,landslide,downpour,point_00040
27.125,93.7145,NASA_COOLR,arunachal_pradesh,2011-07-15,landslide,downpour,point_00041
27.36,93.0385,NASA_COOLR,arunachal_pradesh,2015-07-15,landslide,monsoon,point_00042
28.8254,96.1517,NASA_COOLR,arunachal_pradesh,2012-06-02,landslide,downpour,point_00043
28.8254,96.1509,NASA_COOLR,arunachal_pradesh,2013-04-07,landslide,rain,point_00044
27.8997,93.3497,NASA_COOLR,arunachal_pradesh,2010-04-02,mudslide,downpour,point_00045
27.44,92.2833,NASA_COOLR,arunachal_pradesh,2011-08-12,landslide,rain,point_00046
27.5754,91.9754,NASA_COOLR,arunachal_pradesh,2016-08-05,landslide,downpour,point_00047
26.7103,94.693,NASA_COOLR,arunachal_pradesh,2013-08-11,landslide,downpour,point_00048
28.3036,95.4112,NASA_COOLR,arunachal_pradesh,2010-09-09,landslide,downpour,point_00049
28.611,94.9829,NASA_COOLR,arunachal_pradesh,2013-09-02,landslide,downpour,point_00050
26.72,95.029,NASA_COOLR,arunachal_pradesh,2013-07-01,landslide,downpour,point_00051
27.1032,93.6884,NASA_COOLR,arunachal_pradesh,2011-07-19,landslide,downpour,point_00052
27.2743,92.9064,NASA_COOLR,arunachal_pradesh,2011-07-16,landslide,downpour,point_00053
27.163,94.0,NASA_COOLR,arunachal_pradesh,2008-08-14,landslide,rain,point_00054
27.0869,93.6086,NASA_COOLR,arunachal_pradesh,2014-08-17,landslide,downpour,point_00055
28.1737,94.7596,NASA_COOLR,arunachal_pradesh,2015-08-18,landslide,unknown,point_00056
27.1614,93.7525,NASA_COOLR,arunachal_pradesh,2013-09-02,landslide,downpour,point_00057
27.5523,91.752,NASA_COOLR,arunachal_pradesh,2016-04-22,landslide,continuous_rain,point_00058
26.9986,95.4993,NASA_COOLR,arunachal_pradesh,2012-06-25,landslide,downpour,point_00059
27.8776,94.25,NASA_COOLR,arunachal_pradesh,2013-06-01,landslide,downpour,point_00060
